keyword,location,page,position,company,jobkey,jobTitle,jobDescription
software engineer,California,1,5,,4c8d231d5575846e,,"<div>
 <p>Entry Level Software Programmer: Job Duties<br> <br> Imagine a local Fresno company with a proven record of innovation. A technological juggernaut ready to rewrite the rules of its industry. DPS Telecom is a Fresno-based technology company offering a superior set of solutions for its global business clients. With tens of thousands of deployments worldwide, we provide communication companies with critical status alerts on all seven continents. As a Software Developer at DPS Telecom you can look forward to high expectations and daily challenges. You will work as part of a team that develops and improves our existing, custom, business web based software. The software you develop will help improve company efficiency by automating and stream lining existing processes. This is a dynamic position that requires the ability to learn processes quickly and also requires flexibility and adaptability to work on multiple projects across departments. <br> <br> The entry level software developer will:<br> </p>
 <ul>
  <li>Develop their skill set in PHP, MySQL, Javascript, HTML and Embedded C</li> 
  <li>Maintain, document and add new features to the company's internal software suite.</li> 
 </ul>
 <p></p>During your first year of employment you can expect to:
 <br> 
 <ul>
  <li>Have advanced your skill set in PHP, MySQL, Javascript, HTML to certification levels.</li> 
  <li>Have developed and advanced your debugging skills.</li> 
  <li>Have adopted DPS coding standards and department procedures</li> 
  <li>Have completed and implemented 3 or more new major projects across the DPS software suite</li> 
 </ul>
 <p></p>
 <p>Qualifications and Experience<br> </p>
 <ul>
  <li>Must be proficient in PHP, MySQL, Javascript, HTML, C</li> 
  <li>Knowledge on Arduino and/or Raspberry Pi's</li> 
  <li>Type 45+ Words Per Minute</li> 
  <li>Must be proficient in Microsoft Office software, most specifically Word and Excel</li> 
  <li>High School Diploma or equivalent required</li> 
  <li>Previous experience a plus</li> 
 </ul>
 <p></p>
 <p>Must Haves<br> </p>
 <ul>
  <li>Flexibility and adaptability to work on multiple projects across departments</li> 
  <li>Strong oral and written communications skills</li> 
  <li>Ability to learn processes quickly</li> 
  <li>Excellent attention to detail</li> 
  <li>Strong work ethic</li> 
  <li>Excellent problem solving skills</li> 
  <li>Ability to deliver on time</li>
 </ul>
</div>
<p></p>"
software engineer,California,6,14,,74eb4b48ab8a373a,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Aug 28, 2023
     </div> 
     <div>
      Weekly Hours: 
      <b>40</b>
     </div> 
     <div>
      Role Number:
      <b>200496685</b>
     </div> 
    </div>
    <div>
     The Software Updates Quality Engineering team within Apple's Core OS SWE organization is looking for a talented and inspired engineer to work on the Apple Software Update technology validation. The team is responsible for validation and support of software updates across all platforms including visionOS. The software update team is highly visible and cross functional team so while the focus will be supporting the testing of Software Updates, an understanding of our team’s other deliverables will also be required. Successful candidates will work hands-on with a team of quality engineers and developers on the validation of new features, protocols, and hardware, as well as provide world-class support for existing deployments!
    </div> 
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Solid understanding of QA testing methodologies and practices.</li> 
        <li>Experience with Python or equivalent system scripting languages.</li> 
        <li>Familiarity with C/C++.</li> 
        <li>Familiarity with Source Control Management such as svn or git.</li> 
        <li>Familiarity with iOS, macOS or other operating systems such as Unix/Linux desirable.</li> 
        <li>Detail oriented, analytical, and creative problem solver with passion for quality.</li> 
        <li>Comfortable working in a constantly evolving and dynamic environment and driving issues to resolution.</li> 
        <li>Self motivated and proactive in all aspects of quality engineering.</li> 
        <li>Excellent written and verbal communication skills.</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       You will join a fast paced dynamic team responsible for qualifying the software update mechanisms on all platforms. We work hand in hand with the engineering teams to support new features, code changes, focusing on increasing the depth and breadth of related tests in both an automated and targeted/hands on manner. We hold update quality metrics very high and are a huge part of the high reliability of this system. The successful candidate will drive both documented and adhoc testing to ensure high quality releases for all our products and platforms. Core Responsibilities Include: Drive the validation of software update changes by creating test plans for new features, executing and triaging automated runs, carry out manual targeted testing for non-automated tests. Execute, triage and sign off on issues, features from QA side. Create &amp; maintain automated tests using Python, XCUITests to enable comprehensive testing of software updates. Some focus on upcoming lab setup and maintenance is expected. Collaborate with development teams to help root cause issues found in test and verification of fixes. Work with team members to incorporate testing enhancements for efficiency.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
     <div>
      <div>
       B.S./M.S. in Computer Science or related field, or equivalent work experience/skills.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
    </div>
   </div>
  </div>
  <div></div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Pay &amp; Benefits</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $131,500 and $243,300, and your base pay will depend on your skills, qualifications, experience, and location.<br> <br> Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.<br> <br> Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
software engineer,California,5,14,,4946862302fcd1c8,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Sep 19, 2023
     </div> 
     <div>
      Weekly Hours: 
      <b>40</b>
     </div> 
     <div>
      Role Number:
      <b>200495242</b>
     </div> 
    </div>
    <div>
     Meaningful insights require a solid infrastructure that is able to scale with the large amount of data coming in. Our team is responsible for discovering such great insights from a sea of data, and our infrastructure needs innovative ideas to improve its performance and ease-of-use. Would you like to help understand the challenges of building and maintaining a large-scale analytics infrastructure? Are you excited about identifying areas for improvement and creating out-of-the-box solutions? If this describes you, we would love to hear from you!
    </div> 
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Great programming skills in C, C++, Python or Java</li> 
        <li>Strong analytical thinking</li> 
        <li>Self-motivated and able to work independently</li> 
        <li>Excellent spoken and written communication skills</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       We're looking for a motivated engineer with excellent programming, problem solving and communication skills. In this role, you will be responsible for effective provisioning, installation/configuration, operation, and maintenance of our team’s analytics infrastructure. You will enable continued innovation and progress within the infrastructure through research and development. You will help and support the execution, test and roll-out of solutions. To be successful in this role, you must have a solid software engineering background and be able to write production level code. As a member of this team, you will have the opportunity to solve challenging engineering problems across a broad range of Apple products.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
     <div>
      <div>
       B.S., M.S. or Ph.D. in Computer Science, Electrical Engineering or equivalent
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
    </div>
   </div>
  </div>
  <div></div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Pay &amp; Benefits</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $52.98 and $79.75/hr, and your base pay will depend on your skills, qualifications, experience, and location.<br> <br> Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.<br> <br> Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
software engineer,California,5,13,,2e2d5881bc36b672,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Sep 27, 2023
     </div> 
     <div>
      Weekly Hours: 
      <b>40</b>
     </div> 
     <div>
      Role Number:
      <b>200501289</b>
     </div> 
    </div>
    <div>
     Would you like to build and seamlessly integrate technologies that enrich people’s lives and deliver the best user experience? At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion, dedication, and a commitment to quality to your job, and there's no telling what you could accomplish! We're the Product System Quality team, and we are looking for an experienced and highly motivated Software Quality Assurance Engineer. You will join a dedicated and dynamic team of people who focus on creating a magical experience with AirTag, Digital Car Key, and iOS devices for our customers. Your role is to make sure that our customer experience is amazing. You will be collaborating with many different teams within Apple to further improve the quality of our products, and keep a mindful eye on how we can make them even greater. Come join our team!
    </div> 
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Familiarity with SQA methodologies &amp; practices</li> 
        <li>Good understanding of WiFi, Bluetooth, and other Wireless technologies</li> 
        <li>Ability to monitor and debug issues through log analysis</li> 
        <li>Highly organized, creative, self-motivated, and passionate about achieving results</li> 
        <li>Ability to work independently and thrive in fast-paced environments</li> 
        <li>Effectively communicate, both written and verbal</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       - Work within and outside of our team to develop and implement a rock-solid test plan. - Create and run tests to ensure the customer experience with Apple products - Identify fundamental metrics to track the project and team’s success - Collaborate with development and QA teams to ensure requirements are understood, and tested. - Investigate and debug difficult problems, and help drive them to closure. - Be a vocal proponent for quality in every phase of the development process.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
     <div>
      <div>
       Bachelors in Computer Science, Computer Engineering, Electrical Engineering, or equivalent experience
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
    </div>
   </div>
  </div>
  <div></div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Pay &amp; Benefits</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $44.90 and $78.65/hr, and your base pay will depend on your skills, qualifications, experience, and location.<br> <br> Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.<br> <br> Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
software engineer,California,5,12,,a1932a3a5dee0dac,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Oct 10, 2023
     </div> 
     <div>
      <div>
       Role Number:
       <b>200509127</b>
      </div> 
     </div>
     <div>
      Help craft the next generation of capabilities leveraging Apple location and spatial awareness technologies. Our team focuses are innovating, building, and productizing new ways for our devices to be spatially aware of each other, coupling different sensing technologies with sophisticated algorithms and AI/ML to enable new and more intuitive forms of interaction. We nurture new ideas from prototype to production, helping to establish hardware requirements and system design, conduct developmental testing, write production software, and track our results relative to physical and theoretical limits. This role is for a strong and experienced software generalist to help architect and develop software at the daemon and framework level — someone who thinks carefully about architectural decisions, is disciplined and dedicated to doing it right the first time, and is passionate about continuing a culture of software excellence in both developmental and production software. Shape the next generation of location-aware mobile experiences by working on state-of- the-art technologies to seamlessly integrate people’s digital and physical lives. If you're passionate about building technology that will make a difference, we may be the team for you.
     </div> 
    </div>
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Strong software generalist and experience with object oriented languages (C++, Objective-C)</li> 
        <li>Experience shipping production software</li> 
        <li>Deep understanding of software design paradigms, and software development</li> 
        <li>best practices</li> 
        <li>Ability to architect and implement software for technology evaluation, prototyping,</li> 
        <li>and production</li> 
        <li>Strong interest in location and/or RF-related technologies</li> 
        <li>Excellent collaboration skills</li> 
        <li>Ability to design and debug complex systems</li> 
        <li>Strong creative problem solving skills</li> 
        <li>A passion for programming and building things</li> 
        <li>Experience with data analysis and results dashboards a plus</li> 
        <li>iOS, OS X, application, and/or unix system development a plus</li> 
        <li>Familiarity with basic signal processing techniques a plus</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       Join a team which designs, implements, and powers brand new technologies and services on the world's fastest-growing mobile development platform. We are looking for a highly-motivated and creative Senior Software Engineer with a strong background in Computer Science to help develop new technologies for special projects on the location services team. Our special projects target innovative new signals and technologies to enhance location-aware user experiences. Architect and implement production software systems for new technologies, fusing them with existing capabilities, and bringing new experiences to our users. Collaborate with developers on other iOS teams to architect the full iOS solution. Design and implement full-stack technologies integrating wireless technologies to solve real-world problems. Participate in brainstorming and evaluating new technologies as iOS continues to evolve.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
    </div>
   </div>
  </div>
  <div></div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Takes initiative to address new problems and responsibility for the results</li> 
        <ul>
         <li>Passion for actively learning new skills, techniques, and programming languages/</li>
        </ul> 
        <li>libraries/frameworks.</li> 
        <ul>
         <li>Thrive in a collaborative environment and communicate effectively.</li>
        </ul> 
        <ul>
         <li>Creative and inquisitive, seeking to solve everyday problems in innovative ways.</li>
        </ul> 
        <ul>
         <li>Laser-focused on the smallest details that are meaningful to our customers.</li>
        </ul> 
        <ul>
         <li>Desire to be exposed to all aspects of development; prototyping, planning,</li>
        </ul> 
        <li>designing, productizing, launching, and scaling</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div></div>
  <div>
   <div>
    <div>
     <div>
      <div>
       <ul>
        <li>This posting is not for a specific job opening and by submitting your resume you are expressing interest in being contacted about this type of role at Apple in the future.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
software engineer,California,5,11,,29bcb3075fb8900f,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Oct 27, 2023
     </div> 
     <div>
      <div>
       Role Number:
       <b>200516583</b>
      </div> 
     </div>
     <div>
      The Software Build &amp; Integration team at Apple is at the core of the Apple software development process. We are responsible for delivering the state-of-the-art operating systems and applications to Apple customers. The role empowers build engineers to influence new feature integration into Apple software, by collaborating with engineers from Software, Hardware, Localization, QA, and Project Management teams. Software Build Engineers will have the opportunity to utilize and implement solutions using distributed computing, cloud services, and virtualization technologies to deliver Apple software to customers. This involves engineering innovative solutions for Apple's production build system in support of macOS, iOS, watchOS, tvOS, Xcode, and more!
     </div> 
    </div>
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>macOS, iOS, or UNIX development experience.</li> 
        <li>UNIX administration and strong software debugging skills.</li> 
        <li>Knowledge of operating system, network, and compiler concepts.</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       Job Responsibilities Specific responsibilities include: * Performing daily software builds of macOS, iOS, and its related application products * Working cross functionally with teams across Apple to ship new features or products * Collaborating with Apple development teams to configure project code bases * Troubleshooting and resolving complex software integration issues * Developing tools and processes to improve and automate workflows * Enhancing and maintaining automation tools and web services * Filing actionable bugs and resolving bugs efficiently Job Expectations A successful build engineer will be expected to: * Have excellent verbal and written communication skills * Exercise critical thinking skills, anticipating the needs of others * Be an independent learner, insatiably curious, and know when to ask for help * Demonstrate willingness to ask for clarification and context to understand the big picture * Find multiple solutions to a problem, evaluate tradeoffs, and decide the best approach * Have strong coding ability and testing mindset, e.g. CI/CD, high code coverage, chaos engineering * Understand, retain, and perform complex procedures * Be proficient with git or other version control * Develop strong UNIX debugging skills * Communicate status frequently to product teams and engineering program managers * Document new processes or update an existing wiki pages
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
     <div>
      <div>
       * Bachelors, Masters, or equivalent experience in Computer Science.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Optional Experience:</li> 
        <li>Willingness to learn and master these areas:</li> 
        <ul>
         <li>Programming in Python, JavaScript, Objective-C, or Swift</li>
        </ul> 
        <ul>
         <li>Familiarity with version control systems such as git or subversion</li>
        </ul> 
        <ul>
         <li>Proficiency with advanced text editors (Sublime, vim, emacs)</li>
        </ul> 
        <ul>
         <li>Authoring complex regular expressions</li>
        </ul> 
        <ul>
         <li>Experience with Xcode and/or Makefiles</li>
        </ul> 
        <ul>
         <li>Web systems development or web application development experience</li>
        </ul> 
        <ul>
         <li>Comfortable reading backtraces and stack traces</li>
        </ul> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Pay &amp; Benefits</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $125,800 and $229,400, and your base pay will depend on your skills, qualifications, experience, and location.<br> <br> Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.<br> <br> Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
software engineer,California,5,10,,7bed5f235a331b7f,,"Java / Python Engineers 
<br>
<br> Straong Resources."
software engineer,California,5,9,,9f945303886556ed,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Nov 14, 2023
     </div> 
     <div>
      Weekly Hours: 
      <b>40</b>
     </div> 
     <div>
      Role Number:
      <b>200517499</b>
     </div> 
    </div>
    <div>
     At Apple, great ideas have a way of becoming phenomenal products, services, and customer experiences very quickly! Bring passion and dedication to your job and there's no telling what you could accomplish. Apple Pay Server Engineering team provides outstanding opportunities to work cross all product lines. By designing and developing services highly integrated with hardware, we would be able to keep improving security and privacy standards and deliver massively scalable services that millions of customers love and use every day. You will be working with hard-working engineers over the globe to architect, implement and launch groundbreaking technologies and services. Are you passionate about building massively scalable services that surprise and delight? If you are passionate for solving meaningful problems and enthusiastic for innovation and cool ideas, we want to hear from you.
    </div> 
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>We are looking for server software programming using Java</li> 
        <li>Experience with distributed systems design and development</li> 
        <li>Experience with web services, RESTful API</li> 
        <li>Experience with test-driven development</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       Participate in initiatives that are essential to the success of upcoming product launches Participate and collaborate to solve sophisticated problems with the opportunity to invent innovative solutions Work collaboratively with Apple’s iOS Engineering team, NFC team, security team, and external partners to define the next hot feature of Apple Pay You will have the opportunity to explore and contribute to a wide range of the latest technologies Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants!
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
     <div>
      <div>
       BS or MS in Computer Science/Engineering or related technical field, equivalent practical experience will be considered.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>Any of the following is an advantage, but not required:</li> 
        <li>Experience/knowledge of security and cryptography (ECDH/ECDSA)</li> 
        <li>Experience/knowledge of reactive programming</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Pay &amp; Benefits</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $138,900 and $256,500, and your base pay will depend on your skills, qualifications, experience, and location.<br> <br> Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.<br> <br> Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
software engineer,California,5,8,,f507250664db40fe,,<b>Duration:</b> 0-12 month(s)
software engineer,California,5,7,,99978905b9ebdfc1,,"<div>
 <div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b>Summary</b></h2> 
    <div>
     <div>
      Posted: Sep 27, 2023
     </div> 
     <div>
      <div>
       Role Number:
       <b>200506495</b>
      </div> 
     </div>
     <div>
      The HomeKit team provides the foundation that enables an entire ecosystem of secure and intelligent home connectivity. We are developing a scalable and distributed system to enable a new class of experiences that will revolutionize the way people interact with the accessories around them. The team is seeking a hands on, hardworking engineer to help build the Home automation platform and take it to the next level.
     </div> 
    </div>
   </div>
  </div>
 </div>
 <div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Key Qualifications</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>10 yrs of software experience development experience</li> 
        <li>You are an accomplished coder in C and object-oriented languages, such as C++ or Objective-C or Swift</li> 
        <li>You have a well-founded grasp of computer science fundamentals</li> 
        <li>You have a solid understanding of networking, wireless technologies, protocols, and/or distributed systems.</li> 
        <li>You have experience shipping real products to customers</li> 
        <li>You thrive in a collaborative environment</li> 
        <li>You have excellent communication skills</li> 
        <li>A real passion for product quality and attention to detail</li> 
        <li>Ability to work in a rapid development cycle with tight schedules</li> 
        <li>You are obsessively passionate and inquisitive, and seek to solve everyday problems in innovative ways</li> 
        <li>Laser-focused on the smallest details that are meaningful to our customers</li> 
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Description</b></h2> 
     </div>
     <div>
      <div>
       You will develop the framework that enables accessories, iOS devices, and apps to work together to build an amazing product. You will work on different layers of the software stack, from network protocol design and implementation, to developer APIs, to defining the customer experience. You'll be responsible for maintaining and improving existing features and implementing new and innovative ideas for the future. Our goals are simple but the task is large; craft the most amazing home automation experience in the world that our customers will love.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Education &amp; Experience</b></h2> 
     </div>
     <div>
      <div>
       Bachelor's degree in Computer Engineering, Computer Science or equivalent experience.
      </div> 
     </div>
    </div>
   </div>
  </div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Additional Requirements</b></h2> 
     </div>
    </div>
   </div>
  </div>
  <div></div>
  <div>
   <div>
    <div>
     <div>
      <h2 class=""jobSectionHeader""><b>Pay &amp; Benefits</b></h2> 
     </div>
     <div>
      <div>
       <ul>
        <li>At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $161,700 and $284,900, and your base pay will depend on your skills, qualifications, experience, and location.<br> <br> Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.<br> <br> Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.</li>
       </ul>
      </div>
     </div>
    </div>
   </div>
  </div>
 </div>
</div>"
